,Abstract,Title,Generated Title
944,"In this paper we present a unified framework for modeling multi-relational
representations, scoring, and learning, and conduct an empirical study of
several recent multi-relational embedding models under the framework. We
investigate the different choices of relation operators based on linear and
bilinear transformations, and also the effects of entity representations by
incorporating unsupervised vectors pre-trained on extra textual resources. Our
results show several interesting findings, enabling the design of a simple
embedding model that achieves the new state-of-the-art performance on a popular
knowledge base completion task evaluated on Freebase.",Learning Multi-Relational Semantics Using Neural-Embedding Models,method show validation solving method validation method
945,"The classical mixture of Gaussians model is related to K-means via
small-variance asymptotics: as the covariances of the Gaussians tend to zero,
the negative log-likelihood of the mixture of Gaussians model approaches the
K-means objective, and the EM algorithm approaches the K-means algorithm. Kulis
& Jordan (2012) used this observation to obtain a novel K-means-like algorithm
from a Gibbs sampler for the Dirichlet process (DP) mixture. We instead
consider applying small-variance asymptotics directly to the posterior in
Bayesian nonparametric models. This framework is independent of any specific
Bayesian inference algorithm, and it has the major advantage that it
generalizes immediately to a range of models beyond the DP mixture. To
illustrate, we apply our framework to the feature learning setting, where the
beta process and Indian buffet process provide an appropriate Bayesian
nonparametric prior. We obtain a novel objective function that goes beyond
clustering to learn (and penalize new) groupings for which we relax the mutual
exclusivity and exhaustivity assumptions of clustering. We demonstrate several
other algorithms, all of which are scalable and simple to implement. Empirical
results demonstrate the benefits of the new framework.",MAD-Bayes: MAP-based Asymptotic Derivations from Bayes,focus models models proposed important actions
946,"Conventional dual-frequency fringe projection algorithm often suffers from
phase unwrapping failure when the frequency ratio between the high frequency
and the low one is too large. Zhang et.al. proposed an enhanced two-frequency
phase-shifting method to use geometric constraints of digital fringe
projection(DFP) to reduce the noise impact due to the large frequency ratio.
However, this method needs to calibrate the DFP system and calculate the
minimum phase map at the nearest position from the camera perspective, these
procedures are are relatively complex and more time-cosuming. In this paper, we
proposed an improved method, which eliminates the system calibration and
determination in Zhang's method,meanwhile does not need to use the low
frequency fringe pattern. In the proposed method,we only need a set of high
frequency fringe patterns to measure the object after the high frequency is
directly estimated by the experiment. Thus the proposed method can simplify the
procedure and improve the speed. Finally, the experimental evaluation is
conducted to prove the validity of the proposed method.The results demonstrate
that the proposed method can overcome the main disadvantages encountered by
Zhang's method.",Improved phase-unwrapping method using geometric constraints,models show show input field
947,"In this work, we present a new dataset for computational humor, specifically
comparative humor ranking, which attempts to eschew the ubiquitous binary
approach to humor detection. The dataset consists of tweets that are humorous
responses to a given hashtag. We describe the motivation for this new dataset,
as well as the collection process, which includes a description of our
semi-automated system for data collection. We also present initial experiments
for this dataset using both unsupervised and supervised approaches. Our best
supervised system achieved 63.7% accuracy, suggesting that this task is much
more difficult than comparable humor detection tasks. Initial experiments
indicate that a character-level model is more suitable for this task than a
token-level model, likely due to a large amount of puns that can be captured by
a character-level model.",#HashtagWars: Learning a Sense of Humor,policy model research decentralized
948,"Over the past century, personality theory and research has successfully
identified core sets of characteristics that consistently describe and explain
fundamental differences in the way people think, feel and behave. Such
characteristics were derived through theory, dictionary analyses, and survey
research using explicit self-reports. The availability of social media data
spanning millions of users now makes it possible to automatically derive
characteristics from language use -- at large scale. Taking advantage of
linguistic information available through Facebook, we study the process of
inferring a new set of potential human traits based on unprompted language use.
We subject these new traits to a comprehensive set of evaluations and compare
them with a popular five factor model of personality. We find that our
language-based trait construct is often more generalizable in that it often
predicts non-questionnaire-based outcomes better than questionnaire-based
traits (e.g. entities someone likes, income and intelligence quotient), while
the factors remain nearly as stable as traditional factors. Our approach
suggests a value in new constructs of personality derived from everyday human
language use.","Latent Human Traits in the Language of Social Media: An Open-Vocabulary
  Approach",advantage using <unk>
949,"We first present our work in machine translation, during which we used
aligned sentences to train a neural network to embed n-grams of different
languages into an $d$-dimensional space, such that n-grams that are the
translation of each other are close with respect to some metric. Good n-grams
to n-grams translation results were achieved, but full sentences translation is
still problematic. We realized that learning semantics of sentences and
documents was the key for solving a lot of natural language processing
problems, and thus moved to the second part of our work: sentence compression.
We introduce a flexible neural network architecture for learning embeddings of
words and sentences that extract their semantics, propose an efficient
implementation in the Torch framework and present embedding results comparable
to the ones obtained with classical neural language models, while being more
powerful.",Semantic Vector Machines,networks networks new process samples data researchers number
950,"This paper describes a new kind of knowledge representation and mining system
which we are calling the Semantic Knowledge Graph. At its heart, the Semantic
Knowledge Graph leverages an inverted index, along with a complementary
uninverted index, to represent nodes (terms) and edges (the documents within
intersecting postings lists for multiple terms/nodes). This provides a layer of
indirection between each pair of nodes and their corresponding edge, enabling
edges to materialize dynamically from underlying corpus statistics. As a
result, any combination of nodes can have edges to any other nodes materialize
and be scored to reveal latent relationships between the nodes. This provides
numerous benefits: the knowledge graph can be built automatically from a
real-world corpus of data, new nodes - along with their combined edges - can be
instantly materialized from any arbitrary combination of preexisting nodes
(using set operations), and a full model of the semantic relationships between
all entities within a domain can be represented and dynamically traversed using
a highly compact representation of the graph. Such a system has widespread
applications in areas as diverse as knowledge modeling and reasoning, natural
language processing, anomaly detection, data cleansing, semantic search,
analytics, data classification, root cause analysis, and recommendations
systems. The main contribution of this paper is the introduction of a novel
system - the Semantic Knowledge Graph - which is able to dynamically discover
and score interesting relationships between any arbitrary combination of
entities (words, phrases, or extracted concepts) through dynamically
materializing nodes and edges from a compact graphical representation built
automatically from a corpus of data representative of a knowledge domain.","The Semantic Knowledge Graph: A compact, auto-generated model for
  real-time traversal and ranking of any relationship within a domain",weighted in examples proposed <unk> for
951,"In previous work we developed a method of learning Bayesian Network models
from raw data. This method relies on the well known minimal description length
(MDL) principle. The MDL principle is particularly well suited to this task as
it allows us to tradeoff, in a principled way, the accuracy of the learned
network against its practical usefulness. In this paper we present some new
results that have arisen from our work. In particular, we present a new local
way of computing the description length. This allows us to make significant
improvements in our search algorithm. In addition, we modify our algorithm so
that it can take into account partial domain information that might be provided
by a domain expert. The local computation of description length also opens the
door for local refinement of an existent network. The feasibility of our
approach is demonstrated by experiments involving networks of a practical size.",Using Causal Information and Local Measures to Learn Bayesian Networks,models model function  vaes
952,"Non-negative Matrix Factorization (NMF) has already been applied to learn
speaker characterizations from single or non-simultaneous speech for speaker
recognition applications. It is also known for its good performance in (blind)
source separation for simultaneous speech. This paper explains how NMF can be
used to jointly solve the two problems in a multichannel speaker recognizer for
simultaneous speech. It is shown how state-of-the-art multichannel NMF for
blind source separation can be easily extended to incorporate speaker
recognition. Experiments on the CHiME corpus show that this method outperforms
the sequential approach of first applying source separation, followed by
speaker recognition that uses state-of-the-art i-vector techniques.",Joint Sound Source Separation and Speaker Recognition,art model art show scene feature for
953,"The majority of online reviews consist of plain-text feedback together with a
single numeric score. However, there are multiple dimensions to products and
opinions, and understanding the `aspects' that contribute to users' ratings may
help us to better understand their individual preferences. For example, a
user's impression of an audiobook presumably depends on aspects such as the
story and the narrator, and knowing their opinions on these aspects may help us
to recommend better products. In this paper, we build models for rating systems
in which such dimensions are explicit, in the sense that users leave separate
ratings for each aspect of a product. By introducing new corpora consisting of
five million reviews, rated with between three and six aspects, we evaluate our
models on three prediction tasks: First, we use our model to uncover which
parts of a review discuss which of the rated aspects. Second, we use our model
to summarize reviews, which for us means finding the sentences that best
explain a user's rating. Finally, since aspect ratings are optional in many of
the datasets we consider, we use our model to recover those ratings that are
missing from a user's evaluation. Our model matches state-of-the-art approaches
on existing small-scale datasets, while scaling to the real-world datasets we
introduce. Moreover, our model is able to `disentangle' content and sentiment
words: we automatically learn content words that are indicative of a particular
aspect as well as the aspect-specific sentiment words that are indicative of a
particular rating.",Learning Attitudes and Attributes from Multi-Aspect Reviews,models show rational <unk> new want
954,"Deep generative models (DGMs) are effective on learning multilayered
representations of complex data and performing inference of input data by
exploring the generative ability. However, it is relatively insufficient to
empower the discriminative ability of DGMs on making accurate predictions. This
paper presents max-margin deep generative models (mmDGMs) and a
class-conditional variant (mmDCGMs), which explore the strongly discriminative
principle of max-margin learning to improve the predictive performance of DGMs
in both supervised and semi-supervised learning, while retaining the generative
capability. In semi-supervised learning, we use the predictions of a max-margin
classifier as the missing labels instead of performing full posterior inference
for efficiency; we also introduce additional max-margin and label-balance
regularization terms of unlabeled data for effectiveness. We develop an
efficient doubly stochastic subgradient algorithm for the piecewise linear
objectives in different settings. Empirical results on various datasets
demonstrate that: (1) max-margin learning can significantly improve the
prediction performance of DGMs and meanwhile retain the generative ability; (2)
in supervised learning, mmDGMs are competitive to the best fully discriminative
networks when employing convolutional neural networks as the generative and
recognition models; and (3) in semi-supervised learning, mmDCGMs can perform
efficient inference and achieve state-of-the-art classification results on
several benchmarks.",Max-Margin Deep Generative Models for (Semi-)Supervised Learning,empty syntactic show various solving
955,"Positron Emission Tomography (PET) scan images are one of the bio medical
imaging techniques similar to that of MRI scan images but PET scan images are
helpful in finding the development of tumors.The PET scan images requires
expertise in the segmentation where clustering plays an important role in the
automation process.The segmentation of such images is manual to automate the
process clustering is used.Clustering is commonly known as unsupervised
learning process of n dimensional data sets are clustered into k groups so as
to maximize the inter cluster similarity and to minimize the intra cluster
similarity.This paper is proposed to implement the commonly used K Means and
Fuzzy CMeans (FCM) clustering algorithm.This work is implemented using MATrix
LABoratory (MATLAB) and tested with sample PET scan image. The sample data is
collected from Alzheimers Disease Neuro imaging Initiative ADNI. Medical Image
Processing and Visualization Tool (MIPAV) are used to compare the resultant
images.",Segmentation of Alzheimers Disease in PET scan datasets using MATLAB,frames model <unk> method percent variational
956,"This paper describes the results of some experiments exploring statistical
methods to infer syntactic behavior of words and morphemes from a raw corpus in
an unsupervised fashion. It shares certain points in common with Brown et al
(1992) and work that has grown out of that: it employs statistical techniques
to analyze syntactic behavior based on what words occur adjacent to a given
word. However, we use an eigenvector decomposition of a nearest-neighbor graph
to produce a two-dimensional rendering of the words of a corpus in which words
of the same syntactic category tend to form neighborhoods. We exploit this
technique for extending the value of automatic learning of morphology. In
particular, we look at the suffixes derived from a corpus by unsupervised
learning of morphology, and we ask which of these suffixes have a consistent
syntactic function (e.g., in English, -tion is primarily a mark of nouns, but
-s marks both noun plurals and 3rd person present on verbs), and we determine
that this method works well for this task.",Using eigenvectors of the bigram graph to infer morpheme identity,closer for show leaving achieve texture
957,"Filters in convolutional networks are typically parameterized in a pixel
basis, that does not take prior knowledge about the visual world into account.
We investigate the generalized notion of frames designed with image properties
in mind, as alternatives to this parametrization. We show that frame-based
ResNets and Densenets can improve performance on Cifar-10+ consistently, while
having additional pleasant properties like steerability. By exploiting these
transformation properties explicitly, we arrive at dynamic steerable blocks.
They are an extension of residual blocks, that are able to seamlessly transform
filters under pre-defined transformations, conditioned on the input at training
and inference time. Dynamic steerable blocks learn the degree of invariance
from data and locally adapt filters, allowing them to apply a different
geometrical variant of the same filter to each location of the feature map.
When evaluated on the Berkeley Segmentation contour detection dataset, our
approach outperforms all competing approaches that do not utilize pre-training.
Our results highlight the benefits of image-based regularization to deep
networks.",Dynamic Steerable Blocks in Deep Residual Networks,learning appear model model domain 
958,"Machine learning and computer vision have driven many of the greatest
advances in the modeling of Deep Convolutional Neural Networks (DCNNs).
Nowadays, most of the research has been focused on improving recognition
accuracy with better DCNN models and learning approaches. The recurrent
convolutional approach is not applied very much, other than in a few DCNN
architectures. On the other hand, Inception-v4 and Residual networks have
promptly become popular among computer the vision community. In this paper, we
introduce a new DCNN model called the Inception Recurrent Residual
Convolutional Neural Network (IRRCNN), which utilizes the power of the
Recurrent Convolutional Neural Network (RCNN), the Inception network, and the
Residual network. This approach improves the recognition accuracy of the
Inception-residual network with same number of network parameters. In addition,
this proposed architecture generalizes the Inception network, the RCNN, and the
Residual network with significantly improved training accuracy. We have
empirically evaluated the performance of the IRRCNN model on different
benchmarks including CIFAR-10, CIFAR-100, TinyImageNet-200, and CU3D-100. The
experimental results show higher recognition accuracy against most of the
popular DCNN models including the RCNN. We have also investigated the
performance of the IRRCNN approach against the Equivalent Inception Network
(EIN) and the Equivalent Inception Residual Network (EIRN) counterpart on the
CIFAR-100 dataset. We report around 4.53%, 4.49% and 3.56% improvement in
classification accuracy compared with the RCNN, EIN, and EIRN on the CIFAR-100
dataset respectively. Furthermore, the experiment has been conducted on the
TinyImageNet-200 and CU3D-100 datasets where the IRRCNN provides better testing
accuracy compared to the Inception Recurrent CNN (IRCNN), the EIN, and the
EIRN.","Improved Inception-Residual Convolutional Neural Network for Object
  Recognition",## method learning
959,"We consider the problem of computing a lightest derivation of a global
structure using a set of weighted rules. A large variety of inference problems
in AI can be formulated in this framework. We generalize A* search and
heuristics derived from abstractions to a broad class of lightest derivation
problems. We also describe a new algorithm that searches for lightest
derivations using a hierarchy of abstractions. Our generalization of A* gives a
new algorithm for searching AND/OR graphs in a bottom-up fashion. We discuss
how the algorithms described here provide a general architecture for addressing
the pipeline problem --- the problem of passing information back and forth
between various stages of processing in a perceptual system. We consider
examples in computer vision and natural language processing. We apply the
hierarchical search algorithm to the problem of estimating the boundaries of
convex objects in grayscale images and compare it to other search methods. A
second set of experiments demonstrate the use of a new compositional model for
finding salient curves in images.",The Generalized A* Architecture,reward set observation
960,"Often, when dealing with real-world recognition problems, we do not need, and
often cannot have, knowledge of the entire set of possible classes that might
appear during operational testing. Moreover, sometimes some of these classes
may be ill-sampled, not sampled at all or undefined. In such cases, we need to
think of robust classification methods able to deal with the ""unknown"" and
properly reject samples belonging to classes never seen during training.
Notwithstanding, almost all existing classifiers to date were mostly developed
for the closed-set scenario, i.e., the classification setup in which it is
assumed that all test samples belong to one of the classes with which the
classifier was trained. In the open-set scenario, however, a test sample can
belong to none of the known classes and the classifier must properly reject it
by classifying it as unknown. In this work, we extend upon the well-known
Support Vector Machines (SVM) classifier and introduce the Specialized Support
Vector Machines (SSVM), which is suitable for recognition in open-set setups.
SSVM balances the empirical risk and the risk of the unknown and ensures that
the region of the feature space in which a test sample would be classified as
known (one of the known classes) is always bounded, ensuring a finite risk of
the unknown. The same cannot be guaranteed by the traditional SVM formulation,
even when using the Radial Basis Function (RBF) kernel. In this work, we also
highlight the properties of the SVM classifier related to the open-set
scenario, and provide necessary and sufficient conditions for an RBF SVM to
have bounded open-space risk. An extensive set of experiments compares the
proposed method with existing solutions in the literature for open-set
recognition and the reported results show its effectiveness.",Specialized Support Vector Machines for open-set recognition,<unk> model based problem  using first 
961,"In this paper, we propose a recurrent framework for Joint Unsupervised
LEarning (JULE) of deep representations and image clusters. In our framework,
successive operations in a clustering algorithm are expressed as steps in a
recurrent process, stacked on top of representations output by a Convolutional
Neural Network (CNN). During training, image clusters and representations are
updated jointly: image clustering is conducted in the forward pass, while
representation learning in the backward pass. Our key idea behind this
framework is that good representations are beneficial to image clustering and
clustering results provide supervisory signals to representation learning. By
integrating two processes into a single model with a unified weighted triplet
loss and optimizing it end-to-end, we can obtain not only more powerful
representations, but also more precise image clusters. Extensive experiments
show that our method outperforms the state-of-the-art on image clustering
across a variety of image datasets. Moreover, the learned representations
generalize well when transferred to other tasks.",Joint Unsupervised Learning of Deep Representations and Image Clusters,models problem <unk>
962,"A database of objects discovered in houses in the Roman city of Pompeii
provides a unique view of ordinary life in an ancient city. Experts have used
this collection to study the structure of Roman households, exploring the
distribution and variability of tasks in architectural spaces, but such
approaches are necessarily affected by modern cultural assumptions. In this
study we present a data-driven approach to household archeology, treating it as
an unsupervised labeling problem. This approach scales to large data sets and
provides a more objective complement to human interpretation.",Reconstructing Pompeian Households,imaging  model however  proposed imaging 
963,"Image orientation detection requires high-level scene understanding. Humans
use object recognition and contextual scene information to correctly orient
images. In literature, the problem of image orientation detection is mostly
confronted by using low-level vision features, while some approaches
incorporate few easily detectable semantic cues to gain minor improvements. The
vast amount of semantic content in images makes orientation detection
challenging, and therefore there is a large semantic gap between existing
methods and human behavior. Also, existing methods in literature report highly
discrepant detection rates, which is mainly due to large differences in
datasets and limited variety of test images used for evaluation. In this work,
for the first time, we leverage the power of deep learning and adapt
pre-trained convolutional neural networks using largest training dataset
to-date for the image orientation detection task. An extensive evaluation of
our model on different public datasets shows that it remarkably generalizes to
correctly orient a large set of unconstrained images; it also significantly
outperforms the state-of-the-art and achieves accuracy very close to that of
humans.","Why my photos look sideways or upside down? Detecting Canonical
  Orientation of Images using Convolutional Neural Networks",points de train similarity ##
964,"Conditional random fields (CRFs) are commonly employed as a post-processing
tool for image segmentation tasks. The unary potentials of the CRF are often
learnt independently by a classifier, thereby decoupling the inference in CRF
from the training of classifier. Such a scheme works effectively, when
pixel-level labelling is available for all the images. However, in absence of
pixel-level labels, the classifier is faced with the uphill task of selectively
assigning the image-level labels to the pixels of the image. Prior work often
relied on localization cues, such as saliency maps, objectness priors, bounding
boxes etc., to address this challenging problem. In contrast, we model the
labels of the pixels as latent variables of a CRF. The pixels and the
image-level labels are the observed variables of the latent CRF. We amortize
the cost of inference in the latent CRF over the entire dataset, by training an
inference network to approximate the posterior distribution of the latent
variables given the observed variables. The inference network can be trained in
an end-to-end fashion, and requires no localization cues for training.
Moreover, unlike other approaches for weakly-supervised segmentation, the
proposed model doesn't require further post-processing. The proposed model
achieves performance comparable with other approaches that employ saliency
masks for the task of weakly-supervised semantic image segmentation on the
challenging VOC 2012 dataset.","Amortized Inference and Learning in Latent Conditional Random Fields for
  Weakly-Supervised Semantic Image Segmentation",using model brain different critical models
965,"Millions of hearing impaired people around the world routinely use some
variants of sign languages to communicate, thus the automatic translation of a
sign language is meaningful and important. Currently, there are two
sub-problems in Sign Language Recognition (SLR), i.e., isolated SLR that
recognizes word by word and continuous SLR that translates entire sentences.
Existing continuous SLR methods typically utilize isolated SLRs as building
blocks, with an extra layer of preprocessing (temporal segmentation) and
another layer of post-processing (sentence synthesis). Unfortunately, temporal
segmentation itself is non-trivial and inevitably propagates errors into
subsequent steps. Worse still, isolated SLR methods typically require strenuous
labeling of each word separately in a sentence, severely limiting the amount of
attainable training data. To address these challenges, we propose a novel
continuous sign recognition framework, the Hierarchical Attention Network with
Latent Space (LS-HAN), which eliminates the preprocessing of temporal
segmentation. The proposed LS-HAN consists of three components: a two-stream
Convolutional Neural Network (CNN) for video feature representation generation,
a Latent Space (LS) for semantic gap bridging, and a Hierarchical Attention
Network (HAN) for latent space based recognition. Experiments are carried out
on two large scale datasets. Experimental results demonstrate the effectiveness
of the proposed framework.",Video-based Sign Language Recognition without Temporal Segmentation,based learning behavior we word paper  for
966,"Robust foreground object segmentation via background modelling is a difficult
problem in cluttered environments, where obtaining a clear view of the
background to model is almost impossible. In this paper, we propose a method
capable of robustly estimating the background and detecting regions of interest
in such environments. In particular, we propose to extend the background
initialisation component of a recent patch-based foreground detection algorithm
with an elaborate technique based on Markov Random Fields, where the optimal
labelling solution is computed using iterated conditional modes. Rather than
relying purely on local temporal statistics, the proposed technique takes into
account the spatial continuity of the entire background. Experiments with
several tracking algorithms on the CAVIAR dataset indicate that the proposed
method leads to considerable improvements in object tracking accuracy, when
compared to methods based on Gaussian mixture models and feature histograms.","MRF-based Background Initialisation for Improved Foreground Detection in
  Cluttered Surveillance Videos",means role brain show significant significant
967,"Canonical correlation analysis (CCA) is a multivariate statistical technique
for finding the linear relationship between two sets of variables. The kernel
generalization of CCA named kernel CCA has been proposed to find nonlinear
relations between datasets. Despite their wide usage, they have one common
limitation that is the lack of sparsity in their solution. In this paper, we
consider sparse kernel CCA and propose a novel sparse kernel CCA algorithm
(SKCCA). Our algorithm is based on a relationship between kernel CCA and least
squares. Sparsity of the dual transformations is introduced by penalizing the
$\ell_{1}$-norm of dual vectors. Experiments demonstrate that our algorithm not
only performs well in computing sparse dual transformations but also can
alleviate the over-fitting problem of kernel CCA.",Sparse Kernel Canonical Correlation Analysis via $\ell_1$-regularization,best model still <unk> for
968,"Learning acoustic models directly from the raw waveform data with minimal
processing is challenging. Current waveform-based models have generally used
very few (~2) convolutional layers, which might be insufficient for building
high-level discriminative features. In this work, we propose very deep
convolutional neural networks (CNNs) that directly use time-domain waveforms as
inputs. Our CNNs, with up to 34 weight layers, are efficient to optimize over
very long sequences (e.g., vector of size 32000), necessary for processing
acoustic waveforms. This is achieved through batch normalization, residual
learning, and a careful design of down-sampling in the initial layers. Our
networks are fully convolutional, without the use of fully connected layers and
dropout, to maximize representation learning. We use a large receptive field in
the first convolutional layer to mimic bandpass filters, but very small
receptive fields subsequently to control the model capacity. We demonstrate the
performance gains with the deeper models. Our evaluation shows that the CNN
with 18 weight layers outperform the CNN with 3 weight layers by over 15% in
absolute accuracy for an environmental sound recognition task and matches the
performance of models using log-mel features.",Very Deep Convolutional Neural Networks for Raw Waveforms,models model <unk> method <unk> system
969,"We study here the well-known propagation rules for Boolean constraints. First
we propose a simple notion of completeness for sets of such rules and establish
a completeness result. Then we show an equivalence in an appropriate sense
between Boolean constraint propagation and unit propagation, a form of
resolution for propositional logic.
  Subsequently we characterize one set of such rules by means of the notion of
hyper-arc consistency introduced in (Mohr and Masini 1988). Also, we clarify
the status of a similar, though different, set of rules introduced in (Simonis
1989a) and more fully in (Codognet and Diaz 1996).",Some Remarks on Boolean Constraint Propagation,using method tensor significant video search using account
970,"We propose a clustering-based iterative algorithm to solve certain
optimization problems in machine learning, where we start the algorithm by
aggregating the original data, solving the problem on aggregated data, and then
in subsequent steps gradually disaggregate the aggregated data. We apply the
algorithm to common machine learning problems such as the least absolute
deviation regression problem, support vector machines, and semi-supervised
support vector machines. We derive model-specific data aggregation and
disaggregation procedures. We also show optimality, convergence, and the
optimality gap of the approximated solution in each iteration. A computational
study is provided.","An Aggregate and Iterative Disaggregate Algorithm with Proven Optimality
  in Machine Learning",using <unk> for show video loss
971,"As with articles and journals, the customary methods for measuring books'
academic impact mainly involve citations, which is easy but limited to
interrogating traditional citation databases and scholarly book reviews,
Researchers have attempted to use other metrics, such as Google Books,
libcitation, and publisher prestige. However, these approaches lack
content-level information and cannot determine the citation intentions of
users. Meanwhile, the abundant online review resources concerning academic
books can be used to mine deeper information and content utilizing altmetric
perspectives. In this study, we measure the impacts of academic books by
multi-granularity mining online reviews, and we identify factors that affect a
book's impact. First, online reviews of a sample of academic books on Amazon.cn
are crawled and processed. Then, multi-granularity review mining is conducted
to identify review sentiment polarities and aspects' sentiment values. Lastly,
the numbers of positive reviews and negative reviews, aspect sentiment values,
star values, and information regarding helpfulness are integrated via the
entropy method, and lead to the calculation of the final book impact scores.
The results of a correlation analysis of book impact scores obtained via our
method versus traditional book citations show that, although there are
substantial differences between subject areas, online book reviews tend to
reflect the academic impact. Thus, we infer that online reviews represent a
promising source for mining book impact within the altmetric perspective and at
the multi-granularity content level. Moreover, our proposed method might also
be a means by which to measure other books besides academic publications.","Measuring Book Impact Based on the Multi-granularity Online Review
  Mining",real size data feature word paper  system
972,"In many applications of finance, biology and sociology, complex systems
involve entities interacting with each other. These processes have the
peculiarity of evolving over time and of comprising latent factors, which
influence the system without being explicitly measured. In this work we present
latent variable time-varying graphical lasso (LTGL), a method for multivariate
time-series graphical modelling that considers the influence of hidden or
unmeasurable factors. The estimation of the contribution of the latent factors
is embedded in the model which produces both sparse and low-rank components for
each time point. In particular, the first component represents the connectivity
structure of observable variables of the system, while the second represents
the influence of hidden factors, assumed to be few with respect to the observed
variables. Our model includes temporal consistency on both components,
providing an accurate evolutionary pattern of the system. We derive a tractable
optimisation algorithm based on alternating direction method of multipliers,
and develop a scalable and efficient implementation which exploits proximity
operators in closed form. LTGL is extensively validated on synthetic data,
achieving optimal performance in terms of accuracy, structure learning and
scalability with respect to ground truth and state-of-the-art methods for
graphical inference. We conclude with the application of LTGL to real case
studies, from biology and finance, to illustrate how our method can be
successfully employed to gain insights on multivariate time-series data.",Latent variable time-varying network inference,models data feature examples using successful
973,"Community detection is a fundamental problem in network analysis which is
made more challenging by overlaps between communities which often occur in
practice. Here we propose a general, flexible, and interpretable generative
model for overlapping communities, which can be thought of as a generalization
of the degree-corrected stochastic block model. We develop an efficient
spectral algorithm for estimating the community memberships, which deals with
the overlaps by employing the K-medians algorithm rather than the usual K-means
for clustering in the spectral domain. We show that the algorithm is
asymptotically consistent when networks are not too sparse and the overlaps
between communities not too large. Numerical experiments on both simulated
networks and many real social networks demonstrate that our method performs
very well compared to a number of benchmark methods for overlapping community
detection.",Detecting Overlapping Communities in Networks Using Spectral Methods,cues show significant stochastic
974,"Often multiple instances of an object occur in the same scene, for example in
a warehouse. Unsupervised multi-instance object discovery algorithms are able
to detect and identify such objects. We use such an algorithm to provide object
proposals to a convolutional neural network (CNN) based classifier. This
results in fewer regions to evaluate, compared to traditional region proposal
algorithms. Additionally, it enables using the joint probability of multiple
instances of an object, resulting in improved classification accuracy. The
proposed technique can also split a single class into multiple sub-classes
corresponding to the different object types, enabling hierarchical
classification.","Detecting and Grouping Identical Objects for Region Proposal and
  Classification",technique domain 
975,"In this work, we present a new Vector Space Model (VSM) of speech utterances
for the task of spoken dialect identification. Generally, DID systems are built
using two sets of features that are extracted from speech utterances; acoustic
and phonetic. The acoustic and phonetic features are used to form vector
representations of speech utterances in an attempt to encode information about
the spoken dialects. The Phonotactic and Acoustic VSMs, thus formed, are used
for the task of DID. The aim of this paper is to construct a single VSM that
encodes information about spoken dialects from both the Phonotactic and
Acoustic VSMs. Given the two views of the data, we make use of a well known
multi-view dimensionality reduction technique known as Canonical Correlation
Analysis (CCA), to form a single vector representation for each speech
utterance that encodes dialect specific discriminative information from both
the phonetic and acoustic representations. We refer to this approach as feature
space combination approach and show that our CCA based feature vector
representation performs better on the Arabic DID task than the phonetic and
acoustic feature representations used alone. We also present the feature space
combination approach as a viable alternative to the model based combination
approach, where two DID systems are built using the two VSMs (Phonotactic and
Acoustic) and the final prediction score is the output score combination from
the two systems.","Multi-view Dimensionality Reduction for Dialect Identification of Arabic
  Broadcast Speech",learning model <unk> public method <unk> representations for
976,"Detecting outliers which are grossly different from or inconsistent with the
remaining dataset is a major challenge in real-world KDD applications. Existing
outlier detection methods are ineffective on scattered real-world datasets due
to implicit data patterns and parameter setting issues. We define a novel
""Local Distance-based Outlier Factor"" (LDOF) to measure the {outlier-ness} of
objects in scattered datasets which addresses these issues. LDOF uses the
relative location of an object to its neighbours to determine the degree to
which the object deviates from its neighbourhood. Properties of LDOF are
theoretically analysed including LDOF's lower bound and its false-detection
probability, as well as parameter settings. In order to facilitate parameter
settings in real-world applications, we employ a top-n technique in our outlier
detection approach, where only the objects with the highest LDOF values are
regarded as outliers. Compared to conventional approaches (such as top-n KNN
and top-n LOF), our method top-n LDOF is more effective at detecting outliers
in scattered data. It is also easier to set parameters, since its performance
is relatively stable over a large range of parameter values, as illustrated by
experimental results on both real-world and synthetic datasets.","A New Local Distance-Based Outlier Detection Approach for Scattered
  Real-World Data",set domain
977,"Recurrent Neural Networks (RNNs) have been widely used in natural language
processing and computer vision. Among them, the Hierarchical Multi-scale RNN
(HM-RNN), a kind of multi-scale hierarchical RNN proposed recently, can learn
the hierarchical temporal structure from data automatically. In this paper, we
extend the work to solve the computer vision task of action recognition.
However, in sequence-to-sequence models like RNN, it is normally very hard to
discover the relationships between inputs and outputs given static inputs. As a
solution, attention mechanism could be applied to extract the relevant
information from input thus facilitating the modeling of input-output
relationships. Based on these considerations, we propose a novel attention
network, namely Hierarchical Multi-scale Attention Network (HM-AN), by
combining the HM-RNN and the attention mechanism and apply it to action
recognition. A newly proposed gradient estimation method for stochastic
neurons, namely Gumbel-softmax, is exploited to implement the temporal boundary
detectors and the stochastic hard attention mechanism. To amealiate the
negative effect of sensitive temperature of the Gumbel-softmax, an adaptive
temperature training method is applied to better the system performance. The
experimental results demonstrate the improved effect of HM-AN over LSTM with
attention on the vision task. Through visualization of what have been learnt by
the networks, it can be observed that both the attention regions of images and
the hierarchical temporal structure can be captured by HM-AN.",Hierarchical Multi-scale Attention Networks for Action Recognition,using self driving network exposing specifically 
